Province,City,Postal Code,lat,lon
Araba,Dulantzi,'01240',42.842070468593576,-2.5124611646378754
Araba,Dulantzi,'01193',42.81796955,-2.5605797089431594
Araba,Amurrio,'01450',43.0333773,-2.952746563331337
Araba,Amurrio,'01468',42.9836044743427,-3.007841494725709
Araba,Amurrio,'01470',43.064791,-2.9681975545093118
Araba,Aramaio,'01160',43.0548446,-2.5663888457668795
Araba,Aramaio,'01165',43.04997317971732,-2.6308449228550046
Araba,Aramaio,'01169',43.03739885,-2.5831135069562654
Araba,Artziniega,'01474',43.12619765,-3.1322611766613644
Araba,Artziniega,'01478',43.10996915,-3.112547507311095
Araba,Armiñón,'01211',42.6860794,-2.8407446786641724
Araba,Armiñón,'01220',42.73937365000001,-2.876427308691839
Araba,Ubarrundia,'01510',42.9268915,-2.658640059819814
Araba,Ubarrundia,'01520',42.9181613,-2.5994912437371216
Araba,Asparrena,'01208',42.91417805,-2.4081988720956518
Araba,Asparrena,'01250',42.8906054489638,-2.3153710347863243
Araba,Asparrena,'01260',42.8716432,-2.2686042405453684
Araba,Aiara,'01408',43.09845179612205,-3.0002837205679493
Araba,Aiara,'01470',43.064791,-2.9681975545093118
Araba,Aiara,'01476',43.09001530694483,-3.037606097015849
Araba,Aiara,'01477',43.0914869,-3.0812875470795285
Araba,Aiara,'01478',43.10996915,-3.112547507311095
Araba,Aiara,'01479',43.05185005,-3.0457621100885826
Araba,Mañueta,'01307',42.54688835,-2.667858641819835
Araba,Barrundia,'01206',42.8958326,-2.481608526525825
Araba,Barrundia,'01208',42.91417805,-2.4081988720956518
Araba,Berantevilla,'01211',42.6860794,-2.8407446786641724
Araba,Berantevilla,'01212',42.64024725,-2.8139047521099263
Araba,Berantevilla,'01220',42.73937365000001,-2.876427308691839
Araba,Bernedo,'01118',42.64580144999999,-2.4848713541284515
Araba,Bernedo,'01128',42.7749858,-2.5076139561903714
Araba,Bernedo,'01194',42.79394290000001,-2.655147249457688
Araba,Bernedo,'01216',42.71698575,-2.5422494265970084
Araba,Kanpezu,'01110',42.66760670763593,-2.347775986039956
Araba,Kanpezu,'01117',42.7654702,-2.3142205893490764
Araba,Kanpezu,'01128',42.7749858,-2.5076139561903714
Araba,Zigoitia,'01138',42.97073865,-2.7304357671338524
Araba,Zigoitia,'01196',42.9021569,-2.7242387275384394
Araba,Kripan,'01308',42.5503824,-2.501861821353061
Araba,Kuartango,'01430',42.86958898161436,-2.8928521756506838
Araba,Kuartango,'01439',42.88659895,-2.9271097087552174
Araba,Burgelu,'01192',42.89065720000001,-2.5730547182078025
Araba,Burgelu,'01193',42.81796955,-2.5605797089431594
Araba,Elciego,'01340',42.51387969891768,-2.620208814309996
Araba,Bilar,'01309',42.55784825,-2.6246212874460184
Araba,Gauna,'01193',42.81796955,-2.5605797089431594
Araba,Gauna,'01206',42.8958326,-2.481608526525825
Araba,Gauna,'01207',42.8297542,-2.3537471454167798
Araba,Bastida,'01012',42.8558874,-2.676906168603573
Araba,Bastida,'01212',42.64024725,-2.8139047521099263
Araba,Bastida,'01330',42.5946266,-2.795381283243957
Araba,Lagrán,'01118',42.64580144999999,-2.4848713541284515
Araba,Lagrán,'01211',42.6860794,-2.8407446786641724
Araba,Laguardia,'01300',42.54306085,-2.5804883741693576
Araba,Laguardia,'01308',42.5503824,-2.501861821353061
Araba,Laguardia,'01309',42.55784825,-2.6246212874460184
Araba,Laguardia,'01321',42.55236655,-2.58411693
Araba,Lantziego,'01308',42.5503824,-2.501861821353061
Araba,Lapuebla de Labarca,'01306',42.49468743236381,-2.5702562493400998
Araba,Leza,'01309',42.55784825,-2.6246212874460184
Araba,Llodio,'01400',43.13900245,-2.9619721881292653
Araba,Maeztu,'01120',42.73900834718909,-2.446759591489023
Araba,Maeztu,'01128',42.7749858,-2.5076139561903714
Araba,Maeztu,'01129',42.75586465,-2.4470832154340116
Araba,Moreda Araba,'01322',42.55923045,-2.436144593851356
Araba,Navaridas,'01309',42.55784825,-2.6246212874460184
Araba,Okondo,'01409',43.17872465,-3.005105809728416
Araba,Oion,'01320',42.51116445,-2.4513770447641585
Araba,Oion,'01322',42.55923045,-2.436144593851356
Araba,Urizaharra,'01211',42.6860794,-2.8407446786641724
Araba,Urizaharra,'01212',42.64024725,-2.8139047521099263
Araba,Urizaharra,'01216',42.71698575,-2.5422494265970084
Araba,Ribera Alta,'01213',42.739393799999995,-2.9463051669065514
Araba,Ribera Alta,'01220',42.73937365000001,-2.876427308691839
Araba,Ribera Alta,'01420',42.79185465000001,-2.9283532948030087
Araba,Ribera Alta,'01423',42.79074395,-3.0571269332521465
Araba,Ribera Alta,'01426',42.849660799999995,-3.0673212877240426
Araba,Ribera Alta,'01428',42.82808135,-2.8921848901293936
Araba,Erribera Beitia,'01213',42.739393799999995,-2.9463051669065514
Araba,Erribera Beitia,'01220',42.73937365000001,-2.876427308691839
Araba,Añana,'01423',42.79074395,-3.0571269332521465
Araba,Añana,'01426',42.849660799999995,-3.0673212877240426
Araba,Salvatierra,'01200',42.85025015133157,-2.391322758409293
Araba,Salvatierra,'01207',42.8297542,-2.3537471454167798
Araba,Samaniego,'01307',42.54688835,-2.667858641819835
Araba,Donemiliaga,'01207',42.8297542,-2.3537471454167798
Araba,Donemiliaga,'01208',42.91417805,-2.4081988720956518
Araba,Urkabustaiz,'01440',42.95285223072421,-2.899657251402393
Araba,Urkabustaiz,'01449',42.9709057,-2.9186291298186964
Araba,Urkabustaiz,'01450',42.95304046,-2.90661046
Araba,Gaubea,'01423',42.79074395,-3.0571269332521465
